H_number,Species,From_infection,Host,Notes
HP1,Prototheca wickerhamii,TRUE,Human,
HP2,Prototheca ciferrii,FALSE,Cattle,
HP3,Prototheca bovis,TRUE,Cattle,
HP4,Prototheca blaschkeae,TRUE,Human,
HP5,Prototheca wickerhamii,TRUE,Human,
HP6,Prototheca wickerhamii,TRUE,Human,
HP7,Prototheca wickerhamii,TRUE,Human,
HP8,Prototheca wickerhamii,TRUE,Goat,
HP9,Prototheca wickerhamii,TRUE,Human,
HP10,Prototheca wickerhamii,TRUE,Dog,
HP11,Prototheca wickerhamii,TRUE,Cat,
HP12,Prototheca wickerhamii,TRUE,Dog,
HP13,Prototheca wickerhamii,TRUE,Cat,
HP14,Prototheca bovis,TRUE,Human,
HP15,Prototheca bovis,TRUE,Dog,
HP16,Prototheca bovis,TRUE,Dog,
HP17,Prototheca bovis,TRUE,Dog,
HP18,Prototheca bovis,TRUE,Human,Sensitive to heat and acid in wells
HP19,Prototheca bovis,TRUE,Dog,
HP20,Prototheca bovis,TRUE,Dog,
HP21,Prototheca bovis,TRUE,Dog,
HP22,Prototheca bovis,TRUE,Dog,
HP23,Prototheca bovis,TRUE,Dog,
HP24,Prototheca bovis,TRUE,Dog,
HP25,Prototheca bovis,UNKNOWN,Human,
HP26,Prototheca bovis,UNKNOWN,Human,
HP27,Prototheca miyajii,TRUE,Human,
HP28,Prototheca cutis,TRUE,Human,
HP29,Prototheca tumulicola,FALSE,None,
HP30,Prototheca tumulicola,FALSE,None,
HP31,Prototheca paracutis,FALSE,None,
HP32,Prototheca cookei,FALSE,None,
HP33,Prototheca ciferrii,TRUE,Cattle,
HP34,Prototheca ciferrii,UNKNOWN,Cattle,
HP35,Prototheca ciferrii,FALSE,Cattle,Grows slowly on plate
HP36,Prototheca ciferrii,FALSE,None,
HP37,Prototheca ciferrii,TRUE,Human,
HP38,Prototheca ciferrii,TRUE,Human,
HP39,Prototheca ciferrii,FALSE,None,"""Paper"" says grows poorly at 25°C (which paper?)"
HP40,Prototheca bovis,TRUE,Cattle,
HP41,Prototheca bovis,FALSE,Cattle,
HP42,Prototheca bovis,FALSE,Cattle,
HP43,Prototheca bovis,TRUE,Cattle,Makes less biofilm in flasks
HP44,Prototheca bovis,TRUE,Cattle,
HP45,Prototheca blaschkeae,TRUE,Cattle,
HP46,Prototheca blaschkeae,TRUE,Cattle,
HP47,Prototheca blaschkeae,FALSE,Cattle,
HP48,Prototheca blaschkeae,TRUE,Cattle,
HP49,Prototheca wickerhamii,FALSE,None,Grew poorly in flask once
HP50,Prototheca wickerhamii,TRUE,Cattle,Produces more biofilm in flasks
HP51,Prototheca moriformis,UNKNOWN,UNKNOWN,Grows slowly/poorly in flask; More sensitive to heat in wells
HP52,Prototheca wickerhamii,FALSE,Human,
HP53,Prototheca xanthoriae,FALSE,None,
HP54,Prototheca xanthoriae,FALSE,None,
HA1,Auxenochlorella protothecoides,FALSE,None,
HA2,Auxenochlorella protothecoides,FALSE,None,
HA3,Auxenochlorella protothecoides,FALSE,None,
HA4,Auxenochlorella protothecoides,FALSE,None,
HA5,Auxenochlorella symbiontica,SYMBIOSIS,Hydra viridis,
HA6,Auxenochlorella sp.,UNKNOWN,UNKNOWN,
HA7,Auxenochlorella sp.,UNKNOWN,UNKNOWN,
HH1,Helicosporidium sp. Cs,TRUE,Cyrtobagus salviniae,
HH2,Helicosporidium sp. Dm,TRUE,Dendroctonus micans,
HH3,Helicosporidium sp. Sj,TRUE,Simulium jonesi,
NEG,NEG,NA,NA,
CCAP 223/1,Keratococcus bicaudatus,FALSE,None,
CCAP 218/1,Crucigeniella apiculata,FALSE,None,
CCAP 211/97,Coccomyxa galuniae,FALSE,None,
CCAP 219/5A,Trebouxia decolorans,FALSE,None,
CCAP 11/32A,Chlamydomonas reinhardtii,FALSE,None,
