"date","experiment","plate_number","raw_data_file","mapping_data_file"
"2022-03-11","ACID","Plate1","ACID_OD600_Plate1_2022-03-11.xlsx","ACID_1.0.1_Plate1_2022-03-11.xlsx"
"2022-03-18","ACID","Plate1","ACID_OD600_Plate1_2022-03-18.xlsx","ACID_1.0.2_Plate1_2022-03-18.xlsx"
"2022-04-01","ACID","Plate1","ACID_OD600_Plate1_2022-04-01.xlsx","ACID_1.0.2_Plate1_2022-04-01.xlsx"
"2022-04-08","ACID","Plate1","ACID_OD600_Plate1_2022-04-08.xlsx","ACID_1.0.2_Plate1_2022-04-08.xlsx"
"2022-04-15","ACID","Plate1","ACID_OD600_Plate1_2022-04-15.xlsx","ACID_1.0.3_Plate1_2022-04-15.xlsx"
"2022-06-11","ACID","Plate1","ACID_OD600_Plate1_2022-06-11.xlsx","ACID_1.0.4_Plate1_2022-06-11.xlsx"
"2022-06-17","ACID","Plate1","ACID_OD600_Plate1_2022-06-17.xlsx","ACID_1.0.4_Plate1_2022-06-17.xlsx"
"2022-07-01","ACID","Plate1","ACID_OD600_Plate1_2022-07-01.xlsx","ACID_1.0.5_Plate1_2022-07-01.xlsx"
"2022-07-08","ACID","Plate1","ACID_OD600_Plate1_2022-07-08.xlsx","ACID_1.0.5_Plate1_2022-07-08.xlsx"
"2022-07-15","ACID","Plate1","ACID_OD600_Plate1_2022-07-15.xlsx","ACID_1.0.5_Plate1_2022-07-15.xlsx"
"2022-08-19","ACID","Plate1","ACID_OD600_Plate1_2022-08-19.xlsx","ACID_1.0.5_Plate1_2022-08-19.xlsx"
"2022-09-02","ACID","Plate1","ACID_OD600_Plate1_2022-09-02.xlsx","ACID_1.0.5_Plate1_2022-09-02.xlsx"
"2022-11-11","ACID","Plate1","ACID_OD600_Plate1_2022-11-11.xlsx","ACID_1.0.5_Plate1_2022-11-11.xlsx"
"2022-12-02","ACID","Plate1","ACID_OD600_Plate1_2022-12-02.xlsx","ACID_1.0.5_Plate1_2022-12-02.xlsx"
"2022-03-11","ACID","Plate1","ACID_OD750_Plate1_2022-03-11.xlsx","ACID_1.0.1_Plate1_2022-03-11.xlsx"
"2022-03-18","ACID","Plate1","ACID_OD750_Plate1_2022-03-18.xlsx","ACID_1.0.2_Plate1_2022-03-18.xlsx"
"2022-04-01","ACID","Plate1","ACID_OD750_Plate1_2022-04-01.xlsx","ACID_1.0.2_Plate1_2022-04-01.xlsx"
"2022-04-08","ACID","Plate1","ACID_OD750_Plate1_2022-04-08.xlsx","ACID_1.0.2_Plate1_2022-04-08.xlsx"
"2022-04-15","ACID","Plate1","ACID_OD750_Plate1_2022-04-15.xlsx","ACID_1.0.3_Plate1_2022-04-15.xlsx"
"2022-06-11","ACID","Plate1","ACID_OD750_Plate1_2022-06-11.xlsx","ACID_1.0.4_Plate1_2022-06-11.xlsx"
"2022-06-17","ACID","Plate1","ACID_OD750_Plate1_2022-06-17.xlsx","ACID_1.0.4_Plate1_2022-06-17.xlsx"
"2022-07-01","ACID","Plate1","ACID_OD750_Plate1_2022-07-01.xlsx","ACID_1.0.5_Plate1_2022-07-01.xlsx"
"2022-07-08","ACID","Plate1","ACID_OD750_Plate1_2022-07-08.xlsx","ACID_1.0.5_Plate1_2022-07-08.xlsx"
"2022-07-15","ACID","Plate1","ACID_OD750_Plate1_2022-07-15.xlsx","ACID_1.0.5_Plate1_2022-07-15.xlsx"
"2022-08-19","ACID","Plate1","ACID_OD750_Plate1_2022-08-19.xlsx","ACID_1.0.5_Plate1_2022-08-19.xlsx"
"2022-09-02","ACID","Plate1","ACID_OD750_Plate1_2022-09-02.xlsx","ACID_1.0.5_Plate1_2022-09-02.xlsx"
"2022-11-11","ACID","Plate1","ACID_OD750_Plate1_2022-11-11.xlsx","ACID_1.0.5_Plate1_2022-11-11.xlsx"
"2022-12-02","ACID","Plate1","ACID_OD750_Plate1_2022-12-02.xlsx","ACID_1.0.5_Plate1_2022-12-02.xlsx"
"2021-05-28","GC25","Plate1","GC25_OD600_Plate1_2021-05-28.xlsx","GC25_0.2_Plate1_2021-05-28.xlsx"
"2021-08-13","GC25","Plate1","GC25_OD600_Plate1_2021-08-13.xlsx","GC25_1.0.1_Plate1_2021-08-13.xlsx"
"2021-05-28","GC25","Plate1","GC25_OD750_Plate1_2021-05-28.xlsx","GC25_0.2_Plate1_2021-05-28.xlsx"
"2021-08-13","GC25","Plate1","GC25_OD750_Plate1_2021-08-13.xlsx","GC25_1.0.1_Plate1_2021-08-13.xlsx"
"2020-11-06","GC30","Plate1","GC30_OD600_Plate1_2020-11-06.xlsx","GC30_0.1_Plate1_2020-11-06.xlsx"
"2021-06-18","GC30","Plate1","GC30_OD600_Plate1_2021-06-18.xlsx","GC30_0.2_Plate1_2021-06-18.xlsx"
"2021-09-03","GC30","Plate1","GC30_OD600_Plate1_2021-09-03.xlsx","GC30_1.0.1_Plate1_2021-09-03.xlsx"
"2022-02-06","GC30","Plate1","GC30_OD600_Plate1_2022-02-06.xlsx","GC30_1.0.1_Plate1_2022-02-06.xlsx"
"2022-02-25","GC30","Plate1","GC30_OD600_Plate1_2022-02-25.xlsx","GC30_1.0.1_Plate1_2022-02-25.xlsx"
"2022-09-09","GC30","Plate1","GC30_OD600_Plate1_2022-09-09.xlsx","GC30_1.0.5_Plate1_2022-09-09.xlsx"
"2022-10-14","GC30","Plate1","GC30_OD600_Plate1_2022-10-14.xlsx","GC30_1.0.5_Plate1_2022-10-14.xlsx"
"2021-06-18","GC30","Plate1","GC30_OD750_Plate1_2021-06-18.xlsx","GC30_0.2_Plate1_2021-06-18.xlsx"
"2021-09-03","GC30","Plate1","GC30_OD750_Plate1_2021-09-03.xlsx","GC30_1.0.1_Plate1_2021-09-03.xlsx"
"2022-02-06","GC30","Plate1","GC30_OD750_Plate1_2022-02-06.xlsx","GC30_1.0.1_Plate1_2022-02-06.xlsx"
"2022-02-25","GC30","Plate1","GC30_OD750_Plate1_2022-02-25.xlsx","GC30_1.0.1_Plate1_2022-02-25.xlsx"
"2022-09-09","GC30","Plate1","GC30_OD750_Plate1_2022-09-09.xlsx","GC30_1.0.5_Plate1_2022-09-09.xlsx"
"2022-10-14","GC30","Plate1","GC30_OD750_Plate1_2022-10-14.xlsx","GC30_1.0.5_Plate1_2022-10-14.xlsx"
"2023-01-13","GC33","Plate1","GC33_OD600_Plate1_2023-01-13.xlsx","GC33_1.0.5_Plate1_2023-01-13.xlsx"
"2023-01-20","GC33","Plate1","GC33_OD600_Plate1_2023-01-20.xlsx","GC33_1.0.5_Plate1_2023-01-20.xlsx"
"2023-01-27","GC33","Plate1","GC33_OD600_Plate1_2023-01-27.xlsx","GC33_1.0.5_Plate1_2023-01-27.xlsx"
"2023-01-13","GC33","Plate1","GC33_OD750_Plate1_2023-01-13.xlsx","GC33_1.0.5_Plate1_2023-01-13.xlsx"
"2023-01-20","GC33","Plate1","GC33_OD750_Plate1_2023-01-20.xlsx","GC33_1.0.5_Plate1_2023-01-20.xlsx"
"2023-01-27","GC33","Plate1","GC33_OD750_Plate1_2023-01-27.xlsx","GC33_1.0.5_Plate1_2023-01-27.xlsx"
"2020-10-09","GC37","Plate1","GC37_OD600_Plate1_2020-10-09.xlsx","GC37_manual_Plate1_2020-10-09.xlsx"
"2021-07-16","GC37","Plate1","GC37_OD600_Plate1_2021-07-16.xlsx","GC37_0.2_Plate1_2021-07-16.xlsx"
"2021-09-07","GC37","Plate1","GC37_OD600_Plate1_2021-09-07.xlsx","GC37_1.0.1_Plate1_2021-09-07.xlsx"
"2022-02-11","GC37","Plate1","GC37_OD600_Plate1_2022-02-11.xlsx","GC37_1.0.1_Plate1_2022-02-11.xlsx"
"2022-03-04","GC37","Plate1","GC37_OD600_Plate1_2022-03-04.xlsx","GC37_1.0.1_Plate1_2022-03-04.xlsx"
"2022-09-30","GC37","Plate1","GC37_OD600_Plate1_2022-09-30.xlsx","GC37_1.0.5_Plate1_2022-09-30.xlsx"
"2022-10-07","GC37","Plate1","GC37_OD600_Plate1_2022-10-07.xlsx","GC37_1.0.5_Plate1_2022-10-07.xlsx"
"2021-07-16","GC37","Plate1","GC37_OD750_Plate1_2021-07-16.xlsx","GC37_0.2_Plate1_2021-07-16.xlsx"
"2021-09-07","GC37","Plate1","GC37_OD750_Plate1_2021-09-07.xlsx","GC37_1.0.1_Plate1_2021-09-07.xlsx"
"2022-02-11","GC37","Plate1","GC37_OD750_Plate1_2022-02-11.xlsx","GC37_1.0.1_Plate1_2022-02-11.xlsx"
"2022-03-04","GC37","Plate1","GC37_OD750_Plate1_2022-03-04.xlsx","GC37_1.0.1_Plate1_2022-03-04.xlsx"
"2022-09-30","GC37","Plate1","GC37_OD750_Plate1_2022-09-30.xlsx","GC37_1.0.5_Plate1_2022-09-30.xlsx"
"2022-10-07","GC37","Plate1","GC37_OD750_Plate1_2022-10-07.xlsx","GC37_1.0.5_Plate1_2022-10-07.xlsx"
"2020-10-30","GC42","Plate1","GC42_OD600_Plate1_2020-10-30.xlsx","GC42_0.1_Plate1_2020-10-30.xlsx"
"2021-08-06","GC42","Plate1","GC42_OD600_Plate1_2021-08-06.xlsx","GC42_1.0.0_Plate1_2021-08-06.xlsx"
"2021-09-12","GC42","Plate1","GC42_OD600_Plate1_2021-09-12.xlsx","GC42_1.0.1_Plate1_2021-09-12.xlsx"
"2022-09-16","GC42","Plate1","GC42_OD600_Plate1_2022-09-16.xlsx","GC42_1.0.5_Plate1_2022-09-16.xlsx"
"2021-08-06","GC42","Plate1","GC42_OD750_Plate1_2021-08-06.xlsx","GC42_1.0.0_Plate1_2021-08-06.xlsx"
"2021-09-12","GC42","Plate1","GC42_OD750_Plate1_2021-09-12.xlsx","GC42_1.0.1_Plate1_2021-09-12.xlsx"
"2022-09-16","GC42","Plate1","GC42_OD750_Plate1_2022-09-16.xlsx","GC42_1.0.5_Plate1_2022-09-16.xlsx"
"2020-11-13","acidCheck","Plate1","acidCheck_OD600_Plate1_2020-11-13.xlsx","acidCheck_0.1_Plate1_2020-11-13.xlsx"
"2020-10-16","acidSAB","Plate1","acidSAB_OD600_Plate1_2020-10-16.xlsx","acidSAB_0.1_Plate1_2020-10-16.xlsx"
"2020-10-23","acidSAB","Plate1","acidSAB_OD600_Plate1_2020-10-23.xlsx","acidSAB_0.1_Plate1_2020-10-23.xlsx"
"2020-11-20","acid","Plate1","acid_OD600_Plate1_2020-11-20.xlsx","acid_0.1_Plate1_2020-11-20.xlsx"
"2021-03-19","acid","Plate1","acid_OD600_Plate1_2021-03-19.xlsx","acid_0.2_Plate1_2021-03-19.xlsx"
"2021-03-26","acid","Plate1","acid_OD600_Plate1_2021-03-26.xlsx","acid_0.2_Plate1_2021-03-26.xlsx"
"2021-03-12","acid","plate1","acid_OD600_plate1_2021-03-12.xlsx","acid_0.2_Plate1_2021-03-12.xlsx"
